Date,Visiting Team,Visiting team game num,Home,Home team game num,Visiting final score,Home final score,Num outs,Ballpark,Visit line,Home line,
"""20200805""","""NYN""",13,"""WAS""",9,3,1,54,"""WAS11""","""100100100""","""100000000""",
"""20200805""","""BAL""",11,"""MIA""",6,1,2,39,"""BAL12""","""0000010""","""200000x""",
"""20200805""","""MIL""",9,"""CHA""",12,1,0,54,"""CHI12""","""001000000""","""000000000""",
"""20200805""","""CIN""",12,"""CLE""",13,0,2,51,"""CLE08""","""000000000""","""00002000x""",
"""20200805""","""CHN""",12,"""KCA""",13,6,1,54,"""KAN06""","""000200022""","""001000000""",
"""20200805""","""NYA""",11,"""PHI""",6,3,1,42,"""PHI13""","""0100002""","""0100000""",
"""20200805""","""TEX""",10,"""OAK""",12,4,6,51,"""OAK01""","""100300000""","""20001021x""",
"""20200805""","""ANA""",12,"""SEA""",13,6,7,51,"""SEA03""","""001002030""","""00301030x""",
"""20200805""","""BOS""",12,"""TBA""",12,5,0,54,"""STP01""","""000203000""","""000000000""",
"""20200806""","""HOU""",12,"""ARI""",13,4,5,51,"""PHO01""","""000101020""","""000003002""",
"""20200806""","""TOR""",10,"""ATL""",14,3,4,52,"""ATL03""","""000100200""","""200100001""",
"""20200806""","""SFN""",14,"""COL""",12,4,6,51,"""DEN02""","""000000310""","""00000150x""",
"""20200806""","""BAL""",12,"""MIA""",7,7,8,51,"""BAL12""","""012102001""","""11220020x""",
"""20200806""","""NYA""",12,"""PHI""",7,4,5,51,"""PHI13""","""020000200""","""30200000x""",
"""20200806""","""MIN""",13,"""PIT""",13,5,6,52,"""PIT08""","""300110000""","""030000012""",
"""20200806""","""MIL""",10,"""CHA""",13,8,3,54,"""CHI12""","""001040030""","""020000001""",
"""20200806""","""CIN""",13,"""CLE""",14,0,13,51,"""CLE08""","""000000000""","""100020(10)0x""",
"""20200806""","""CHN""",13,"""KCA""",14,2,13,51,"""KAN06""","""000000002""","""12602011x""",
"""20200806""","""TEX""",11,"""OAK""",13,4,6,51,"""OAK01""","""000011200""","""01040010x""",
"""20200806""","""ANA""",13,"""SEA""",14,6,1,54,"""SEA03""","""010300020""","""000100000""",
"""20200807""","""SFN""",15,"""LAN""",14,2,7,51,"""LOS03""","""001001000""","""00231001x""",
"""20200807""","""CIN""",14,"""MIL""",11,8,3,54,"""MIL06""","""060002000""","""000100020""",
"""20200807""","""MIA""",8,"""NYN""",14,4,3,54,"""NYC20""","""040000000""","""010000020""",
"""20200807""","""DET""",11,"""PIT""",14,17,13,66,"""PIT08""","""01004160014""","""02023002310""",
"""20200807""","""ARI""",14,"""SDN""",14,0,3,51,"""SAN02""","""000000000""","""11001000x""",
"""20200807""","""BAL""",13,"""WAS""",10,11,0,54,"""WAS11""","""120104300""","""000000000""",
"""20200807""","""TOR""",11,"""BOS""",13,3,5,51,"""BOS07""","""101001000""","""11200001x""",
"""20200807""","""CLE""",15,"""CHA""",14,0,2,51,"""CHI12""","""000000000""","""10000001x""",
"""20200807""","""MIN""",14,"""KCA""",15,2,3,51,"""KAN06""","""001100000""","""00101100x""",
"""20200807""","""HOU""",13,"""OAK""",14,2,3,77,"""OAK01""","""0010000000001""","""0000001000002""",
"""20200807""","""COL""",13,"""SEA""",15,8,4,54,"""SEA03""","""002002130""","""010002010""",
"""20200807""","""NYA""",13,"""TBA""",13,0,1,51,"""STP01""","""000000000""","""00000001x""",
"""20200807""","""ANA""",14,"""TEX""",12,3,4,51,"""ARL02""","""200100000""","""01030000x""",
"""20200808""","""SFN""",16,"""LAN""",15,5,4,54,"""LOS03""","""002021000""","""000004000""",
"""20200808""","""CIN""",15,"""MIL""",12,4,1,54,"""MIL06""","""300000100""","""000000010""",
"""20200808""","""MIA""",9,"""NYN""",15,4,8,51,"""NYC20""","""100012000""","""02201030x""",
"""20200808""","""ATL""",15,"""PHI""",8,0,5,51,"""PHI13""","""000000000""","""00040001x""",
