Date,Visiting,Visiting game num,Home,Home game num,Visiting score,Home score,Num outs,Ballpark,away 1th inning,away 2th inning,away 3th inning,away 4th inning,away 5th inning,away 6th inning,away 7th inning,away 8th inning,away 9th inning,away 10th inning,away 11th inning,away 12th inning,away 13th inning,away 14th inning,away 15th inning,away 16th inning,away 17th inning,away 18th inning,away 19th inning,away 20th inning,home 1th inning,home 2th inning,home 3th inning,home 4th inning,home 5th inning,home 6th inning,home 7th inning,home 8th inning,home 9th inning,home 10th inning,home 11th inning,home 12th inning,home 13th inning,home 14th inning,home 15th inning,home 16th inning,home 17th inning,home 18th inning,home 19th inning,home 20th inning
20200728,MIL,5,PIT,5,6,8,51,PIT08,0,0,0,0,0,2,4,0,0,,,,,,,,,,,,0,0,0,2,0,0,4,2,0,,,,,,,,,,,
20200728,SDN,5,SFN,5,5,3,54,SFO03,0,0,3,2,0,0,0,0,0,,,,,,,,,,,,1,0,0,0,0,2,0,0,0,,,,,,,,,,,
20200728,TOR,5,WAS,5,5,1,54,WAS11,0,1,0,1,1,0,0,2,0,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
20200728,SEA,5,ANA,5,2,10,51,ANA01,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,0,0,2,3,1,2,0,2,0,,,,,,,,,,,
20200728,NYN,5,BOS,5,8,3,54,BOS07,0,3,0,0,2,0,0,3,0,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,,,,,,,,,,,
20200728,CHA,4,CLE,4,3,4,51,CLE08,0,0,1,0,1,0,0,0,1,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,,,,,,,,,,,
20200728,CHA,5,CLE,5,3,5,51,CLE08,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,3,0,0,2,0,0,0,0,0,,,,,,,,,,,
20200728,KCA,5,DET,5,3,4,51,DET05,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,0,0,4,0,0,0,0,0,0,,,,,,,,,,,
20200728,LAN,5,HOU,5,5,2,54,HOU03,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,,,,,,,,,,,
20200728,SLN,4,MIN,4,3,6,51,MIN04,0,0,0,0,2,0,0,1,0,,,,,,,,,,,,0,5,0,1,0,0,0,0,0,,,,,,,,,,,
20200728,COL,4,OAK,5,8,3,54,OAK01,0,0,1,2,2,0,0,3,0,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,,,,,,,,,,,
20200728,ATL,5,TBA,5,2,5,51,STP01,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,0,0,5,0,0,0,0,0,0,,,,,,,,,,,
20200728,ARI,5,TEX,4,4,1,54,ARL02,3,0,0,0,0,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
20200729,TBA,6,ATL,6,4,7,51,ATL03,0,0,0,0,1,3,0,0,0,,,,,,,,,,,,0,0,2,0,0,3,2,0,0,,,,,,,,,,,
20200729,CHN,6,CIN,6,7,12,51,CIN09,0,0,0,0,0,0,5,0,2,,,,,,,,,,,,0,0,0,2,7,0,3,0,0,,,,,,,,,,,
20200729,BOS,6,NYN,6,6,5,54,NYC20,0,0,0,2,0,0,1,3,0,,,,,,,,,,,,1,0,0,0,1,1,0,1,1,,,,,,,,,,,
20200729,MIL,6,PIT,6,3,0,54,PIT08,0,0,2,0,0,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
20200729,SDN,6,SFN,6,6,7,51,SFO03,0,0,2,4,0,0,0,0,0,,,,,,,,,,,,0,1,1,0,0,1,0,3,1,,,,,,,,,,,
20200729,SEA,6,ANA,6,10,7,54,ANA01,0,0,0,1,0,5,2,2,0,,,,,,,,,,,,0,0,0,3,1,3,0,0,0,,,,,,,,,,,
20200729,NYA,4,BAL,4,9,3,54,BAL12,2,0,3,0,0,2,0,0,2,,,,,,,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,,,,,
20200729,CHA,6,CLE,6,4,0,54,CLE08,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
20200729,KCA,6,DET,6,4,5,51,DET05,1,1,2,0,0,0,0,0,0,,,,,,,,,,,,0,0,1,0,3,0,1,0,0,,,,,,,,,,,
20200729,LAN,6,HOU,6,4,2,78,HOU03,0,1,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
20200729,SLN,5,MIN,5,0,3,51,MIN04,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,0,2,0,0,0,0,0,,,,,,,,,,,
